Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
ADAMTS15,,,0.0,,0.47,,,,0.73,,0.77,,,,0.5,,,,0.75,0.85,,,
ADAMTS16,,,0.0,,0.29,,,,0.75,,0.9,,,,0.8,,,,0.8,0.97,,,
ADAMTS17,,,0.0,,0.55,,0.9,,0.75,,0.85,,,,0.8,,,,0.8,,,,
ADAMTS18,0.7,,0.0,,,,0.8,0.5,,,,,0.9,,0.8,,,,,,1.0,,
ADAMTS19,,,0.0,,0.39,,,,0.8,,,,0.9,,,,,,0.7,,,,
ADAMTS2,,,,0.98,0.18,,,,0.85,,0.9,,,,0.6,,,,,0.93,,,
ADAMTS20,,,0.0,,0.69,,,,0.8,,0.9,,,,0.6,,,,0.8,,,,
ADAMTS3,,,0.0,,0.42,,0.9,,0.8,,0.7,,,,0.9,,,,0.6,0.8,,,
ADAMTS4,0.9,,0.0,,0.45,,0.5,0.7,0.8,0.7,0.9,,,,,,,,0.8,0.88,,,
ADAMTS5,,,0.0,,0.46,,0.4,,0.6,0.5,0.8,,,,,0.75,,,,0.91,,,
ADAMTS6,,,,1.0,0.89,,0.6,,0.5,,0.7,,,,0.7,,,,0.8,0.91,,,
ADAMTS7,0.8,,0.0,,0.47,,0.9,,0.8,,0.85,,,,0.6,0.75,,,0.75,0.83,,,
ADAMTS8,,,0.0,,0.65,,0.9,,0.75,,0.8,,,,0.7,,,,0.5,0.97,,,
ADAMTS9,,1.0,0.0,,0.3,,0.8,,0.7,,0.6,,,,0.8,,,,,0.89,,,
ADAMTSL1,,,0.0,,0.4,,0.6,0.5,0.8,,0.9,,,,0.9,,,,0.7,0.95,,,
ADAMTSL2,0.8,,0.0,,0.42,,,,,,,,0.9,,0.8,,,,0.5,,,,
ADAMTSL3,,,0.0,,0.5,,0.9,,0.75,,0.85,,,,0.9,,,,0.8,,,,
ADAMTSL4,,,0.0,,0.86,,0.5,,0.6,,0.8,,,,0.8,,0.7,,0.5,0.84,,,
ADAMTSL4-AS1,,,1.0,,1.0,,,,0.6,,,,,,,,,,0.5,,,,
ADAMTSL5,,,0.0,,0.78,,,,0.8,,,,,,,0.7,,,0.5,,,,
ADAP1,,,,,,,,,,,,,,,,,,,,,,,
ADAP2,,,0.0,,0.74,0.24,0.4,0.2,0.6,,0.7,,,,0.9,0.6,,,0.5,,,,
ADAR,,0.9,0.04,,0.26,,0.5,,0.8,,0.95,,,,,,,,0.6,,,0.57,
ADARB1,,,,0.98,0.09,,,,,,,,,,,,,,,,,,
ADARB2,,,,0.87,0.17,,0.6,,0.55,0.5,0.65,,,,0.9,,,,0.75,,,,
ADARB2-AS1,0.3,,0.0,,0.0,,,,,,,,,,,,,,0.5,,,0.8,
ADAT1,,,0.0,,0.83,,,,0.6,,0.9,,,,0.7,,,,0.75,,,,
ADAT2,,,0.0,,0.92,,,0.2,0.75,,0.85,,,,0.6,,0.8,,0.5,,,,
ADAT3,0.8,,0.2,,,,,,,,,,,,,,0.9,,,,0.6,,
ADCK1,,,0.0,,0.91,,,,0.6,,0.8,,,,0.5,,,,0.5,,,0.6,
ADCK2,,,0.0,,0.58,,,,0.8,,0.9,,,,0.75,,,,0.7,,,0.6,
ADCK5,,,0.8,,0.6,,,,0.7,,0.9,,,,0.8,0.65,,,0.5,,,,
ADCY1,,,,1.0,0.85,0.8,0.5,,0.7,0.4,0.9,,,,0.8,,,,0.7,0.96,,,
ADCY10,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
ADCY2,,,,,,,,,,,,,,,,,,,,,,,
ADCY3,,,,,,,,,,,,1.0,,0.7,,,,,,,,,
ADCY4,,,0.0,,0.65,,,,0.7,,0.9,,,,0.8,,,,0.8,0.86,,,0.6
ADCY5,,,,,,,,,,,,,,,,,,,,,,,
ADCY6,0.7,,0.0,,0.29,,,,0.85,0.8,0.9,,,,0.75,0.7,,,0.6,0.7,,,
ADCY7,,,,,,,,,,,,0.8,,,,,,,,,,,
ADCY8,,,0.0,,,,0.5,,,,,,0.9,,,,,,,,0.87,,
ADCY9,,,,0.97,0.17,,0.9,0.7,0.75,,0.85,,,,0.8,,,,0.8,0.72,,,
ADCYAP1,,1.0,,0.52,0.16,,,0.75,0.8,,0.87,,,,0.75,0.8,,,0.88,,,,
ADCYAP1R1,,1.0,0.0,,0.53,,,0.2,0.8,0.85,0.9,,,,0.6,,0.9,0.8,0.9,0.88,,,
ADD1,,,,,,,,,,,,0.8,,,,,,,,,,,
ADD2,,,,1.0,0.13,,,0.6,0.8,,0.9,,,,,,,,0.7,0.94,,,
ADD3,,,,1.0,0.89,,0.75,0.5,0.8,,0.9,,,,,,,,,,,0.6,
ADGB,,,1.0,,1.0,,,,0.7,,0.9,,,,,,,,0.8,,,,
ADGRA1,,,0.0,,0.0,,,,0.8,,0.9,,,,0.8,,0.7,,0.5,,,,
ADGRA2,,,0.0,,0.0,,,,0.8,,0.9,,,,0.8,,,,0.7,0.85,,,
ADGRA3,,,0.0,,0.0,,,,0.7,,0.9,,,,0.8,,,,0.8,,,0.6,
ADGRB1,,,0.0,,,,,,0.6,,,,0.7,,,,,,,,,,
ADGRB2,,,,,,,,,,,,0.8,,,,,,,,,,,
ADGRB3,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,,,0.9,0.8,0.9,,,
ADGRD1,,,0.0,,0.0,,,,0.7,,0.9,,,,0.75,,,0.9,0.8,0.85,,,
ADGRD2,,,0.0,,0.0,,,,0.7,,0.9,,,,,,,0.6,0.8,,1.0,,
ADGRE1,,,0.0,,0.0,,,,0.7,,0.9,,,,0.7,,0.6,,0.8,,,,0.5
ADGRE2,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,0.95,,
ADGRE3,,,1.0,,1.0,,,,0.8,,0.9,,,,0.8,,,,0.8,1.0,,,
ADGRE4P,,,0.0,,0.0,,,,0.6,,,,,,,,0.4,0.7,0.5,,,0.2,
ADGRE5,,,0.0,,0.0,,,0.8,0.7,,0.9,,,,,0.75,,,0.8,,,,
ADGRF1,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
ADGRF3,,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,,0.9,0.5,0.87,,,
ADGRF4,,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,,,0.5,,0.99,,
ADGRF5,,,0.0,,0.0,,,,0.7,,0.9,,,,,,,,0.8,,,,
ADGRG1,0.7,,0.0,,,,,,,,,,0.9,,,,0.9,,,,0.73,,
ADGRG2,0.7,,,,,,,,,,,,,,,,,,,,0.9,,
ADGRG3,,,0.0,,,,,,0.8,0.7,0.9,,,,0.75,0.8,,,,1.0,,,
ADGRG4,,,0.0,,,,,,,,,,0.9,,0.7,,,,,,0.95,,
ADGRG5,,,0.0,,0.0,,,0.6,0.7,,0.8,,,,0.9,,,,0.5,,,,0.6
ADGRG6,0.8,,0.0,,,,,,,,,,0.9,,0.8,,0.9,,,,0.92,,
ADGRG7,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,,,0.9,0.8,1.0,,,
ADGRL1,,,,,,,,,,,,0.8,,,,,,,,,,,
ADGRL2,,,,,,,,,,,,1.0,,,,,,,,,,,
ADGRL3,,,0.0,,0.0,,,,0.7,,0.9,,,,,,0.9,,0.8,0.8,,,
ADGRL4,,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,,0.9,0.7,0.92,,,
ADGRV1,0.8,,0.0,,,,,,,,,,0.9,,0.7,0.7,0.9,,,,0.92,,
ADH1A,,,0.0,,0.5,,,0.3,0.9,0.7,0.8,,,,0.6,,0.5,0.7,0.6,1.0,,,
ADH1B,,,0.0,,0.75,,0.9,0.4,0.5,0.6,0.7,,,,0.7,,0.85,,0.5,0.89,,,
ADH1C,0.8,,0.0,,,,,0.5,0.7,,,,0.9,,0.8,,,,,,0.99,,
ADH4,,,0.0,,,,0.8,,,,,,0.9,,0.75,,,,,,1.0,,
ADH5,,,0.0,,0.92,,0.8,,0.6,0.5,0.9,,,,0.7,,,0.8,0.5,0.75,,,
ADH6,,,0.0,,0.66,,0.1,,0.7,,0.8,,,,0.6,,,0.9,0.5,1.0,,,
ADH7,,,0.0,,0.5,0.7,0.4,,0.7,,0.8,,,,0.7,,,,0.6,1.0,,,
ADHFE1,,,0.0,,0.63,,0.4,,0.7,,0.6,,,,0.5,,,,0.5,0.61,,,
ADI1,,,0.0,,0.83,,,,0.6,0.1,0.7,,,,0.6,,0.8,,0.5,0.65,,,0.5
ADIG,,,0.0,,0.0,,,,0.5,,0.6,,,,0.7,0.5,,,0.1,1.0,,,
ADIPOQ,,,0.0,,,,0.8,0.75,0.85,,0.9,,,,0.9,,,,,1.0,,,
ADIPOR1,,,,0.65,0.18,,0.1,0.5,0.8,,0.9,,,,,,,,,0.7,,,
ADIPOR2,,,,,,,,,,,,,,,,,,,,,,,
ADIRF,,,0.04,,0.76,,,,0.6,,0.8,,,,0.5,0.55,,,0.1,0.91,,,
ADK,,1.0,0.0,,0.45,,0.6,,0.7,0.5,0.9,,,,,,,,,,,0.6,
ADM,,0.9,0.8,,,,0.7,,,,,,0.9,,,,,,,,0.95,,
ADM2,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
ADM5,,,0.38,,0.0,,,,0.6,,0.7,,,,0.8,,,,0.5,,,,
ADNP,,1.0,,1.0,0.03,,1.0,,0.8,,0.9,,,,,0.85,,,0.7,,,0.6,
ADNP2,,,,0.89,0.17,,,,0.6,,0.9,,,,0.8,,,0.75,0.7,,,,
ADO,,,0.48,,0.17,,0.9,,0.75,,0.85,,,,0.7,,,,0.54,0.86,,,
ADORA1,,,0.8,,,,0.6,,0.8,0.9,0.7,,,,0.75,0.75,,,,,0.85,,
ADORA2A,,,,,,,,,,,,1.0,,0.9,,,,,,,,,
ADORA2A-AS1,,,0.0,,0.0,,,,0.8,,,,,,,,,,0.5,,,0.2,
ADORA2B,,,0.0,,0.83,,,,0.75,0.9,0.8,,,,,,,,0.5,0.86,,,
ADORA3,,,0.0,,0.63,0.47,,0.15,0.22,0.77,0.54,,,,,,,,0.64,,,,
ADPGK,,,0.0,,0.39,,0.6,0.7,0.75,,0.8,,,,0.6,,,,0.5,0.64,,,
ADPRH,,,,,,,,,,,,,,,,,,,,,,,
ADPRHL1,,,0.0,,0.92,,,,0.6,,0.9,,,,0.75,,,,0.5,,,,
ADPRM,,,0.0,,0.59,,,,0.8,,0.9,,,,0.9,,,,0.5,0.7,,,
ADRA1A,,,0.0,,0.87,,0.5,,0.7,0.9,0.8,,,,0.8,,,,0.5,1.0,,,
ADRA1B,,,0.13,,0.31,,,,0.87,0.76,0.73,,,,,,,,0.52,0.92,,,
ADRA1D,,,,,,,,,,,,0.9,,0.85,,,,,,,,,
ADRA2A,0.4,,0.9,,,,,,0.8,0.85,,,0.95,,,,,,,,0.93,,
ADRA2B,,0.8,1.0,,0.79,,,,0.85,0.9,,,,,0.9,,,,0.5,,,0.0,
ADRA2C,0.8,,,0.52,0.19,,,,0.6,0.9,0.7,,,,,,,,0.8,,0.96,,
ADRB1,,1.0,0.0,,0.88,,,,0.6,0.8,0.7,,,,,,,0.9,,0.91,,,
ADRB2,,,,0.58,0.18,,,,0.75,0.95,0.9,,,,,0.8,,0.9,0.85,0.91,,,
ADRB3,0.8,,0.0,,,,,,0.8,0.9,,,0.9,,0.8,,0.9,,,,1.0,,
ADRM1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ADSL,0.7,,0.0,,0.69,,,,0.85,,0.9,,,,0.75,,,,0.5,,0.68,,
ADTRP,,,0.0,,0.86,,0.2,,0.5,,0.6,,,,,0.65,,,0.5,,,,
AEBP1,,1.0,0.0,,0.49,,,,0.7,,0.8,,,,0.6,,,,,0.96,,,
AEBP2,,1.0,,1.0,0.0,,,0.7,0.85,,0.9,,,,0.8,,,,0.8,0.75,,,
AEN,,,0.0,,0.6,,,0.6,0.7,,0.8,,,,0.7,,,,0.7,0.75,,,
AFAP1,,,0.0,,0.42,,0.7,,0.8,,0.9,,,,0.8,,,0.6,0.8,0.7,,,
AFAP1L1,,,0.0,,0.7,,,0.5,0.5,,0.62,,,,0.9,,,,0.5,,,,
AFAP1L2,,,0.02,,0.28,,,,0.8,,0.91,,,,0.8,,,,0.818,,,,
AFDN,0.8,,0.0,,,,,,,,,,,,,,0.7,,,,0.6,,
AFDN-DT,,,0.0,,0.0,,,,0.7,,,,,,,,,0.8,0.5,,,0.6,
AFF1,,,,0.57,0.22,,0.8,,0.7,,0.9,,,,0.75,,,,,0.69,,,
AFF2,1.0,,,1.0,0.9,,,,0.8,,,,0.9,,0.6,,,,0.7,0.95,,,0.7
AFF3,,,,1.0,0.8,,0.85,,0.6,,0.75,,,,0.7,,,,0.7,0.8,,,
AFF4,0.8,1.0,,1.0,0.05,,,0.75,0.85,,,,0.9,,,,,,,0.62,,,
AFG1L,0.7,,0.0,,,,,,,,,,0.9,,,,,,,,,,0.5
AFG3L2,0.8,1.0,0.0,,,,,,,,,,0.7,,,,,,,,,,
AFM,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
AFMID,,,0.0,,0.67,,,,0.9,,0.67,,,,0.6,,,,0.5,0.66,,,
AFP,,,0.0,,,,0.5,,0.7,,0.9,,,,0.6,,,,,0.99,,,
AFTPH,,,,1.0,0.97,,,,0.7,,0.85,,,,0.6,0.78,,,0.75,,,0.56,
AGA,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
AGAP11,,,1.0,,1.0,,,,0.6,,,,,,,0.7,,0.8,0.5,,,0.9,
AGAP14P,,,1.0,,1.0,,,,,,,,,,,0.5,,0.8,0.5,,,0.2,
AGAP2,,,,,,,,,,,,,,,,,,,,,,,
AGAP3,,,,0.87,0.19,,,,0.8,,0.9,,,,0.7,0.8,,,0.75,,,,
AGAP4,,,0.9,,,,,,,,,,0.8,,,,,,0.6,,,,
AGAP5,,,0.9,,0.7,,,,0.6,,0.8,,,,,0.7,,,0.5,,,,
AGAP6,,,1.0,,1.0,1.0,,,0.8,,,,,,,,,,0.5,,,,
AGAP7P,,,0.0,,0.0,,,,,,,,,,,,,0.6,0.5,,,,
AGAP9,,,1.0,,1.0,,,,0.7,,0.9,,,,,0.75,,0.8,0.8,,,,
AGBL1,,,0.0,,0.9,0.0,0.5,,0.6,,0.7,,,,0.5,,0.8,0.7,0.5,,,0.4,
AGBL2,,,,,,,,,,,,,,,,,,,,,,,
AGBL3,0.5,,0.0,,0.0,,,0.6,0.7,,0.9,,,,,,0.8,,0.8,1.0,,,
AGBL4,0.5,,0.0,,,,0.6,,,,,,0.8,,,,0.7,,,,0.9,,
AGBL5,0.7,,0.0,,0.48,,,,0.8,,,,0.9,,0.8,,0.9,,0.6,,1.0,,
AGER,0.85,,0.0,,,,0.9,,0.6,,,,0.8,,,,,,,,1.0,,0.5
AGFG1,,,,0.99,0.11,,0.1,0.1,0.7,,0.78,,,,0.8,,,,0.56,,,0.52,
AGFG2,,,0.0,,0.48,,,0.5,0.6,,0.8,,,,0.7,0.6,,,0.7,0.85,,,
AGGF1,,,0.0,,0.36,,,,0.8,,0.9,,,,0.8,,,,0.5,,,0.5,
AGK,0.7,,0.0,,0.6,,,0.75,0.85,,,,0.9,,0.8,0.7,,,0.8,,,0.5,
AGL,0.7,,0.0,,0.59,,,,0.85,,,,0.9,,0.75,0.7,,,0.8,0.94,,,
AGMAT,,,0.0,,0.97,,,0.6,0.7,,0.9,,,,0.6,,,,0.5,0.97,,,
AGMO,,,,,,,,,,,,,,,,,,,,,,,
AGO1,,,,1.0,0.0,,,0.7,0.8,,0.9,,,,0.8,,,,0.8,,,0.6,0.7
AGO2,0.8,,,1.0,0.98,,,0.6,0.7,,0.9,,,,,,,,0.5,0.76,,,
AGO3,,,,1.0,0.08,,,0.7,0.8,,0.9,,,,,,,,0.8,0.6,,,
AGO4,,,,1.0,0.89,,,,0.8,,0.9,,,,0.7,0.75,,,0.5,,,0.6,
AGPAT1,,,,0.96,0.07,,0.1,0.2,0.7,,0.88,,,,0.9,,,,0.75,,,0.49,
AGPAT2,1.0,1.0,0.0,,0.98,,,0.5,0.8,,0.9,,,,0.8,,,,,0.93,,,
AGPAT3,,,,1.0,0.0,,,0.5,0.6,,0.8,,,,0.8,,,,0.7,,,0.7,
AGPAT4,,,,,,,,,,,,0.5,,,,,,,,,,,
AGPAT4-IT1,,,0.0,,0.0,,,,0.8,,,,,,,,,,0.5,,,0.9,
AGPAT5,,,0.0,,0.49,,,,0.7,,0.9,,,,0.8,,,,0.6,,,,
AGPS,0.8,1.0,,1.0,0.98,,,0.6,0.85,,,,0.9,,0.9,,,,,,,0.7,
AGR2,,,0.0,,0.97,,,,0.8,,0.9,,,,0.8,,,,0.7,,,,
AGR3,,,0.0,,0.8,,0.7,,0.8,,0.9,,,,0.7,,,,0.5,,,,
AGRN,0.8,1.0,0.0,,,,,0.6,,,,,0.9,,,,,,,,,,
AGRP,,1.0,0.0,,0.86,,1.0,0.6,0.8,0.5,0.8,,,,0.7,,,,,1.0,,,
AGT,,1.0,0.0,,0.92,,0.7,0.5,0.8,,0.9,,,,,,,,0.7,0.86,,,
AGTPBP1,,,,,,,,,,,,0.8,,,,,,,,,,,
AGTR1,,,0.0,,0.68,,,0.7,0.75,0.9,0.95,,,,,,,0.9,,,,,
AGTR2,,,0.01,,0.58,,0.6,0.2,0.75,0.8,0.7,,,,,,,,0.9,,,,
AGTRAP,,,,,,,,,,,,0.9,,,,,,,,,,,
AGXT,,,0.0,,0.64,,0.6,,0.7,,0.9,,,,0.7,,0.8,,0.5,1.0,,,
AGXT2,,,0.0,,,,0.8,,,,,,0.9,,0.7,,0.8,,,,1.0,,0.5
AHCTF1,,1.0,,1.0,0.93,,,,0.9,,,,0.74,,0.8,,,,0.9,0.66,,,
AHCY,0.5,,0.03,,0.32,,,0.4,0.6,,0.8,,,,,,,0.7,0.65,0.65,,,
AHCYL1,,,,1.0,0.87,,,0.75,0.85,,0.9,,,,,,,,0.8,,,0.6,
AHCYL2,,,,0.99,0.14,,,0.76,0.87,,0.48,,,,0.9,,0.8,0.85,0.61,,,,
AHDC1,0.9,,,1.0,0.0,,,0.5,0.6,,,,0.7,,0.8,,0.9,,0.8,0.7,,,
AHI1,,1.0,0.0,,0.73,,0.9,0.5,0.6,,0.7,,,,0.7,,,0.8,,0.84,,,
AHNAK,,,,,,,,,,,,0.8,,,,,,,,,,,
AHNAK2,,,0.0,,0.0,,,0.3,0.7,,0.9,,,,0.7,,,0.6,0.8,0.93,,,0.5
AHR,,1.0,,1.0,0.95,,0.95,,0.85,,0.9,,,,,0.85,,,0.7,0.87,,,
AHRR,,,0.8,,0.6,,0.7,,0.65,,0.75,,,,,,,0.85,0.5,0.95,,,
AHSA1,,,,1.0,0.0,,,,0.7,,0.9,,,,0.7,,,,0.8,,,0.6,
AHSA2P,,,0.0,,0.0,,,,0.6,,0.8,,,,,0.4,,,0.5,,,,
AHSG,,,0.0,,0.5,,0.8,0.4,0.8,,0.9,,,,0.8,,0.7,,0.7,,,,
AHSP,,,0.0,,0.8,,,0.5,0.6,,0.9,,,,0.7,,,,0.5,,,,
AICDA,0.8,,0.0,,0.68,,,,0.7,,,,0.9,,0.6,,,,0.5,1.0,,,
AIDA,,,0.0,,0.51,,0.5,,0.6,,0.8,,,,0.5,0.6,,,0.5,,,,
AIF1,,,,,,,,,,,,0.8,,,,,,,,,,,
AIF1L,,,0.0,,0.54,,,,0.6,,0.8,,,,0.7,,,0.9,0.75,,,,
AIFM1,0.8,1.0,,1.0,0.04,,,0.5,0.6,,,,,,,,,,,,,0.5,
AIFM2,,,,,,,,,,,,,,,,,,,,,,,
AIFM3,,,0.0,,,,0.5,0.6,0.7,,,,0.9,,0.8,,,,,,0.86,,
AIG1,,,0.9,,0.85,,,,0.7,,0.8,,,,0.8,0.75,,,0.6,,,,
AIM2,,,0.0,,0.5,,,,0.9,,0.8,,,,,0.75,,,0.6,0.97,,,
AIMP1,0.8,,0.0,,0.76,,,0.7,0.8,,0.9,,,,,,,,0.5,,,0.6,
AIMP2,,,,,,,,,,,,,,0.6,,,,,,,,,
AIP,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
AIPL1,1.0,,0.0,,0.64,,,,0.6,,,,0.9,,,0.75,,,0.8,,1.0,,
AIRE,,,0.0,,0.76,,,0.7,0.8,,0.9,,,,,,,0.6,,0.91,,,
AJAP1,,,,1.0,1.0,,0.75,,0.7,,0.85,,,,0.9,,,,0.5,0.86,,,
AJM1,,,1.0,,1.0,,,,0.7,,0.9,,,,0.8,0.85,,,0.8,,,,
AJUBA,,,,,,,,,,,,0.8,,,,,,,,,,,
AK2,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,,,
AK3,,,0.0,,,,0.6,,,,,,0.8,,,,0.9,,,,,,
AK4,,,,,,,,,,,,,,,,,,,,,,,
AK5,,,0.0,,,,0.8,,,,,,0.9,,0.75,0.7,,,,,,,0.7
AK6,,,1.0,,1.0,,,,0.7,,0.9,,,,0.9,0.75,0.9,,0.8,,,,0.5
AK7,0.5,,0.0,,0.61,,,,,,,,0.9,,,0.65,,,0.8,,,,
AK8,,,0.0,,0.82,,,,0.67,,0.75,,,,0.5,,,0.8,0.5,1.0,,,
AK9,,,0.0,,0.58,,,0.6,0.7,,0.9,,,,0.7,0.65,0.85,,0.8,,,,
AKAIN1,,,0.0,,0.0,,,,0.5,,0.6,,,,,,,,0.1,,,,
AKAP1,,,,0.7,0.2,,0.6,0.1,0.75,,0.8,,,,0.9,,,,0.9,0.75,,,
AKAP10,,,,,,,,,,,,,,,,,,,,,,,
AKAP11,,,,,,,,,,,,0.8,,,,,,,,,,,
AKAP12,,,0.8,,0.3,0.9,,,0.85,,0.9,,,,0.8,,,,0.7,0.76,,,
AKAP13,,,,0.94,0.21,,0.8,0.6,0.75,,0.9,,,,,0.78,,0.7,0.85,,,,
AKAP14,,,,0.58,0.15,,,0.5,0.5,,0.69,,,,,0.65,,,0.197,1.0,,,
AKAP17A,,,,0.55,0.2,,,0.8,0.75,,0.86,,,,0.8,,,,0.69,,,,
AKAP3,,,0.8,,,,0.6,,0.7,,,,0.9,,0.7,0.8,,,,,1.0,,
AKAP4,,,,0.99,0.05,,,,0.4,,0.116,,,,,0.7,,,0.854,1.0,,,
AKAP5,,,,0.68,0.16,,,0.5,0.67,,0.78,,,,,0.7,,,0.85,0.92,,,
AKAP6,,1.0,,1.0,0.16,,0.9,,0.6,,0.7,,,,0.7,,0.9,,0.5,0.8,,,
AKAP7,,,0.0,,0.77,,0.4,0.6,0.7,,0.8,,,,0.6,,,,0.5,,,0.9,
AKAP8,,,,0.92,0.17,,,,0.8,,0.9,,,,,,,,0.8,,,,
AKAP8L,,,0.09,,0.26,,,,0.8,,0.7,,,,0.5,0.7,,,0.64,,,0.6,
AKAP9,,,0.0,,0.33,,0.5,0.6,0.8,,0.9,,,,,,,,0.5,,,,
AKIP1,,,0.0,,0.89,,,,0.7,,0.9,,,,0.9,,,,0.5,,,,
AKIRIN1,,,,0.79,0.11,,,,0.8,,0.9,,,,0.9,,,,0.5,,,0.53,
AKIRIN2,,1.0,,0.92,0.08,,,0.6,0.7,,0.8,,,,0.7,0.78,,,0.5,,,0.6,
AKNA,,,0.0,,,,0.8,,,,,,0.9,,0.6,0.76,,,,,0.93,,
AKNAD1,,,0.0,,0.92,,,0.5,0.6,,0.8,,,,,,,0.9,0.7,,,,0.7
AKR1A1,,,0.0,,,,0.8,0.5,0.7,,,,0.9,,,,,,,,0.6,,
AKR1B1,,,0.0,,,,0.8,0.3,0.5,0.6,0.7,,,,,,,,,1.0,,,
AKR1B10,,,0.0,,0.84,,,0.6,0.8,,0.9,,,,,,,,0.5,0.96,,,
AKR1B15,,,0.0,,0.7,,,,0.9,,0.8,,,,0.9,0.75,,,0.5,0.9,,,
AKR1C1,,,0.0,,,,0.7,0.2,0.8,,,,0.9,,,,0.75,,,0.85,,,
AKR1C2,0.7,,0.0,,0.96,,,0.6,0.85,,0.9,,,,,,0.8,,0.5,0.93,,,
AKR1C3,,,0.0,,0.6,,,0.6,0.8,0.7,0.9,,,,,,,,0.5,0.88,,,
AKR1C4,,,0.0,,0.5,,0.6,0.5,0.8,,0.9,,,,,,0.8,,0.7,1.0,,,
AKR1D1,,,0.0,,0.7,,0.6,0.6,0.8,,0.9,,,,,0.75,,,0.8,1.0,,,
AKR1E2,,,0.0,,0.91,,0.1,,0.6,,0.7,,,,0.9,,,,0.5,1.0,,,0.5
AKR7A2,,,0.0,,0.98,,,,0.8,,0.9,,,,,,,,0.5,,,0.48,
AKR7A3,,,0.0,,0.5,,,0.5,0.6,,0.7,,,,0.7,,,,0.8,,,,
AKR7L,,,0.0,,0.83,0.0,,,0.8,,,,,,,,,,0.5,,,,
AKT1,,1.0,,0.98,0.14,,0.4,0.7,0.85,0.9,0.95,,,,,,,0.8,,,,0.6,
AKT1S1,,,0.31,,0.24,,,0.6,0.8,0.75,0.87,,,,,,,,0.51,,,0.47,
AKT2,,,,0.6,,,0.7,0.6,0.8,0.85,0.75,,,,,,,,,,0.65,,
AKT3,,,,1.0,0.04,,0.8,0.5,0.7,0.7,0.6,,,,,,,,,0.7,,,
AKTIP,,,,,,,,,,,,,,,,,,,,,,,
ALAD,,,,,,,,,,,,,,,,,,,,,,,
ALAS1,,0.9,0.2,,,,0.6,,0.7,,,,0.8,,0.7,0.7,,,,,,,0.5
ALAS2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ALB,,,,0.61,0.21,,0.9,,0.75,0.7,0.95,,,,0.75,,,,,1.0,,,
ALCAM,,,,0.71,0.2,,0.4,0.5,0.6,,0.8,,,,,,,,0.58,,,,
ALDH16A1,,,,,,,,,,,,,,0.7,,,,,,,,,
ALDH18A1,0.8,,0.0,,0.32,,0.5,,0.7,,0.6,,,,,,,,0.8,0.79,,,
ALDH1A1,,,,0.96,0.14,,,,0.9,,0.725,,,,,0.75,,,0.5,0.78,,,
ALDH1A2,,,,,,,,,,,,,,0.9,,,,,,,,,
ALDH1A3,0.5,1.0,0.15,,0.26,0.1872,,,0.8,,0.9,,,,0.6,,0.8,,,0.89,,,
ALDH1B1,,,0.0,,0.79,,,0.6,0.8,,0.9,,,,,,,,0.7,0.94,,,
ALDH1L1,,,0.0,,0.55,,0.5,0.4,0.8,,0.9,,,,,,,,0.7,0.81,,,
ALDH1L2,,,0.0,,0.69,,,0.5,0.8,,0.9,,,,,,,,0.8,0.95,,,
ALDH2,,,0.0,,0.7,,0.9,0.6,0.7,0.6,0.7,,,,,,,,0.5,,,0.6,
ALDH3A1,0.7,,0.0,,,,0.8,0.6,0.7,,,,0.9,,,,,,,,1.0,,
ALDH3A2,0.9,,0.0,,0.5,,,0.6,0.7,,0.6,,,,,,,,0.7,0.75,,,0.6
ALDH3B1,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
ALDH3B2,,,0.0,,0.5,0.9,,0.2,0.6,,0.8,,,,0.7,,,,0.7,,,,
ALDH4A1,0.8,,0.0,,,,,,,,,,0.9,,0.75,0.7,0.85,,,,0.88,,
ALDH5A1,,1.0,0.0,,0.59,,0.5,,0.7,0.6,0.7,,,,0.8,,,,,0.77,,,
ALDH6A1,,,,,,,,,,,,,,,,,,,,,,,
ALDH7A1,,,0.0,,0.92,0.23,0.5,,0.85,,0.9,,,,,0.75,,,0.5,0.62,,,
